SOURCE	TARGET	count
naïve CD4 T	naïve CD4 T	9
naïve CD4 T	TA	34
naïve CD4 T	IgA plasma cell	5
naïve CD4 T	Goblet cell	30
naïve CD4 T	IgG plasma cell	7
naïve CD4 T	cycling B cell	19
naïve CD4 T	Inflammatory FLC	35
naïve CD4 T	crypt	28
naïve CD4 T	early enterocyte	21
naïve CD4 T	memory B cell	24
naïve CD4 T	FCER2 B cell	22
naïve CD4 T	Tfh	12
naïve CD4 T	cDC2	41
naïve CD4 T	Arterial EC	36
naïve CD4 T	IL2RG	35
naïve CD4 T	enterocyte	19
naïve CD4 T	enteroendocrine	25
naïve CD4 T	Venous EC	44
naïve CD4 T	Activated T	26
naïve CD4 T	Monocyte	57
naïve CD4 T	ADAMDEC1 FLC	38
naïve CD4 T	cDC1	28
naïve CD4 T	myofibroblast	23
naïve CD4 T	pericyte	30
naïve CD4 T	Treg	22
naïve CD4 T	lymphatic EC	32
naïve CD4 T	B cell	25
naïve CD4 T	activated B cell	9
naïve CD4 T	pDC	24
naïve CD4 T	cycling plasma	12
naïve CD4 T	gd T cell	25
naïve CD4 T	mast cells	9
naïve CD4 T	Paneth cell	19
naïve CD4 T	BEST4 enterocyte	27
naïve CD4 T	LAMP3+ DC	31
naïve CD4 T	F3 FLC	27
naïve CD4 T	CD8 T cell	22
naïve CD4 T	Macrophage	46
naïve CD4 T	Glial cell	19
naïve CD4 T	cycling myeloid	34
naïve CD4 T	Tuft	17
TA	naïve CD4 T	34
TA	TA	51
TA	IgA plasma cell	12
TA	Goblet cell	95
TA	IgG plasma cell	13
TA	cycling B cell	27
TA	Inflammatory FLC	162
TA	crypt	89
TA	early enterocyte	83
TA	memory B cell	39
TA	FCER2 B cell	40
TA	Tfh	36
TA	cDC2	77
TA	Arterial EC	118
TA	IL2RG	118
TA	enterocyte	80
TA	enteroendocrine	70
TA	Venous EC	132
TA	Activated T	55
TA	Monocyte	112
TA	ADAMDEC1 FLC	136
TA	cDC1	42
TA	myofibroblast	123
TA	pericyte	118
TA	Treg	42
TA	lymphatic EC	89
TA	B cell	38
TA	activated B cell	10
TA	pDC	45
TA	cycling plasma	16
TA	gd T cell	49
TA	mast cells	25
TA	Paneth cell	37
TA	BEST4 enterocyte	92
TA	LAMP3+ DC	48
TA	F3 FLC	150
TA	CD8 T cell	40
TA	Macrophage	88
TA	Glial cell	75
TA	cycling myeloid	50
TA	Tuft	66
IgA plasma cell	naïve CD4 T	5
IgA plasma cell	TA	12
IgA plasma cell	IgA plasma cell	1
IgA plasma cell	Goblet cell	12
IgA plasma cell	IgG plasma cell	2
IgA plasma cell	cycling B cell	10
IgA plasma cell	Inflammatory FLC	23
IgA plasma cell	crypt	13
IgA plasma cell	early enterocyte	9
IgA plasma cell	memory B cell	9
IgA plasma cell	FCER2 B cell	10
IgA plasma cell	Tfh	9
IgA plasma cell	cDC2	20
IgA plasma cell	Arterial EC	19
IgA plasma cell	IL2RG	20
IgA plasma cell	enterocyte	13
IgA plasma cell	enteroendocrine	8
IgA plasma cell	Venous EC	27
IgA plasma cell	Activated T	18
IgA plasma cell	Monocyte	30
IgA plasma cell	ADAMDEC1 FLC	17
IgA plasma cell	cDC1	9
IgA plasma cell	myofibroblast	18
IgA plasma cell	pericyte	21
IgA plasma cell	Treg	13
IgA plasma cell	lymphatic EC	17
IgA plasma cell	B cell	12
IgA plasma cell	activated B cell	2
