gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	ADAMDEC1 FLC	Activated T	Arterial EC	B cell	BEST4 enterocyte	CD8 T cell	F3 FLC	FCER2 B cell	Glial cell	Goblet cell	IL2RG	IgA plasma cell	IgG plasma cell	Inflammatory FLC	LAMP3+ DC	Macrophage	Monocyte	Paneth cell	TA	Tfh	Treg	Tuft	Venous EC	activated B cell	cDC1	cDC2	crypt	cycling B cell	cycling myeloid	cycling plasma	early enterocyte	enterocyte	enteroendocrine	gd T cell	lymphatic EC	mast cells	memory B cell	myofibroblast	naïve CD4 T	pDC	pericyte
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.987	1.547	5.473	9.371	2.361	0.897	0.535	16.545	7.05	0.681	3.874	0.511	0.763	1.004	31.436	60.517	29.595	0.271	1.038	0.76	1.401	0.849	6.125	4.738	57.946	45.593	1.182	8.252	34.086	1.304	1.74	4.179	1.208	0.657	3.609	4.404	11.89	0.656	2.928	13.083	0.912
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.059	0.006	0.115	0.0	0.077	0.047	0.069	0.0	0.0	0.113	0.1	0.007	0.003	0.085	0.169	0.045	0.064	0.028	0.105	0.016	0.045	0.144	0.15	0.0	0.0	0.062	0.077	0.0	0.05	0.0	0.053	0.046	0.253	0.0	0.077	0.0	0.0	0.026	0.003	0.0	0.071
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.987	1.547	5.473	9.371	2.361	0.897	0.535	16.545	7.05	0.681	3.874	0.511	0.763	1.004	31.436	60.517	29.595	0.271	1.038	0.76	1.401	0.849	6.125	4.738	57.946	45.593	1.182	8.252	34.086	1.304	1.74	4.179	1.208	0.657	3.609	4.404	11.89	0.656	2.928	13.083	0.912
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.002	0.002	0.0	0.0	0.001	0.0	0.0	0.016	0.046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.004	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.059	0.006	0.115	0.0	0.077	0.047	0.069	0.0	0.0	0.113	0.1	0.007	0.003	0.085	0.169	0.045	0.064	0.028	0.105	0.016	0.045	0.144	0.15	0.0	0.0	0.062	0.077	0.0	0.05	0.0	0.053	0.046	0.253	0.0	0.077	0.0	0.0	0.026	0.003	0.0	0.071
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.059	0.006	0.115	0.0	0.077	0.047	0.069	0.0	0.0	0.113	0.1	0.007	0.003	0.085	0.169	0.045	0.064	0.028	0.105	0.016	0.045	0.144	0.15	0.0	0.0	0.062	0.077	0.0	0.05	0.0	0.053	0.046	0.253	0.0	0.077	0.0	0.0	0.026	0.003	0.0	0.071
