SOURCE	TARGET	count
enterocyte	enterocyte	37
enterocyte	early enterocyte	68
enterocyte	Goblet cell	66
enterocyte	TA	87
enterocyte	crypt	73
enterocyte	F3 FLC	105
enterocyte	ADAMDEC1 FLC	102
enterocyte	lymphatic EC	55
enterocyte	IgA plasma cell	13
enterocyte	naïve CD4 T	16
enterocyte	CD8 T cell	38
enterocyte	Venous EC	73
enterocyte	IgG plasma cell	13
enterocyte	BEST4 enterocyte	83
enterocyte	cDC2	50
enterocyte	Paneth cell	50
enterocyte	cycling myeloid	69
enterocyte	Macrophage	70
enterocyte	Glial cell	64
enterocyte	Treg	38
enterocyte	gd T cell	35
enterocyte	myofibroblast	73
enterocyte	memory B cell	30
enterocyte	Arterial EC	67
enterocyte	cDC1	40
enterocyte	IL2RG	87
enterocyte	Tuft	67
enterocyte	Monocyte	59
enterocyte	pericyte	69
enterocyte	Inflammatory FLC	112
enterocyte	Activated T	38
enterocyte	enteroendocrine	53
enterocyte	B cell	35
enterocyte	FCER2 B cell	25
enterocyte	cycling B cell	30
enterocyte	Tfh	28
enterocyte	activated B cell	21
enterocyte	cycling plasma	16
enterocyte	pDC	32
enterocyte	LAMP3+ DC	27
enterocyte	mast cells	9
early enterocyte	enterocyte	68
early enterocyte	early enterocyte	25
early enterocyte	Goblet cell	55
early enterocyte	TA	70
early enterocyte	crypt	59
early enterocyte	F3 FLC	99
early enterocyte	ADAMDEC1 FLC	89
early enterocyte	lymphatic EC	51
early enterocyte	IgA plasma cell	7
early enterocyte	naïve CD4 T	11
early enterocyte	CD8 T cell	30
early enterocyte	Venous EC	65
early enterocyte	IgG plasma cell	7
early enterocyte	BEST4 enterocyte	67
early enterocyte	cDC2	47
early enterocyte	Paneth cell	27
early enterocyte	cycling myeloid	55
early enterocyte	Macrophage	63
early enterocyte	Glial cell	57
early enterocyte	Treg	30
early enterocyte	gd T cell	27
early enterocyte	myofibroblast	69
early enterocyte	memory B cell	21
early enterocyte	Arterial EC	62
early enterocyte	cDC1	35
early enterocyte	IL2RG	75
early enterocyte	Tuft	52
early enterocyte	Monocyte	55
early enterocyte	pericyte	59
early enterocyte	Inflammatory FLC	104
early enterocyte	Activated T	32
early enterocyte	enteroendocrine	39
early enterocyte	B cell	32
