gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	ADAMDEC1 FLC	Activated T	Arterial EC	B cell	BEST4 enterocyte	CD8 T cell	F3 FLC	FCER2 B cell	Glial cell	Goblet cell	IL2RG	IgA plasma cell	IgG plasma cell	Inflammatory FLC	LAMP3+ DC	Macrophage	Monocyte	Paneth cell	TA	Tfh	Treg	Tuft	Venous EC	activated B cell	cDC1	cDC2	crypt	cycling B cell	cycling myeloid	cycling plasma	early enterocyte	enterocyte	enteroendocrine	gd T cell	lymphatic EC	mast cells	memory B cell	myofibroblast	naïve CD4 T	pDC	pericyte
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.85	0.664	4.279	12.666	1.135	0.801	0.639	15.185	1.913	0.369	4.608	0.467	0.82	1.156	48.93	68.393	40.88	0.089	0.413	0.823	0.465	0.404	6.9	5.564	76.152	58.398	0.415	7.055	39.814	1.247	0.691	1.336	0.709	0.723	2.473	3.241	11.423	0.459	1.144	9.902	0.286
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.049	0.0	0.242	0.003	0.065	0.012	0.03	0.0	0.0	0.086	0.068	0.004	0.0	0.015	0.0	0.03	0.064	0.025	0.07	0.013	0.0	0.365	0.088	0.0	0.067	0.039	0.071	0.004	0.13	0.0	0.048	0.075	0.228	0.0	0.141	0.0	0.004	0.072	0.014	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.85	0.664	4.279	12.666	1.135	0.801	0.639	15.185	1.913	0.369	4.608	0.467	0.82	1.156	48.93	68.393	40.88	0.089	0.413	0.823	0.465	0.404	6.9	5.564	76.152	58.398	0.415	7.055	39.814	1.247	0.691	1.336	0.709	0.723	2.473	3.241	11.423	0.459	1.144	9.902	0.286
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.027	0.0	0.004	0.0	0.0	0.0	0.0	0.066	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.049	0.0	0.242	0.003	0.065	0.012	0.03	0.0	0.0	0.086	0.068	0.004	0.0	0.015	0.0	0.03	0.064	0.025	0.07	0.013	0.0	0.365	0.088	0.0	0.067	0.039	0.071	0.004	0.13	0.0	0.048	0.075	0.228	0.0	0.141	0.0	0.004	0.072	0.014	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.049	0.0	0.242	0.003	0.065	0.012	0.03	0.0	0.0	0.086	0.068	0.004	0.0	0.015	0.0	0.03	0.064	0.025	0.07	0.013	0.0	0.365	0.088	0.0	0.067	0.039	0.071	0.004	0.13	0.0	0.048	0.075	0.228	0.0	0.141	0.0	0.004	0.072	0.014	0.0	0.0
