gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Arterial EC	BEST4 enterocyte prog	Enteric neurons	Erythroblasts	FOXL1 FLC	Goblet prog	ICC	LGR5 stem	Lymphatic EC	NTS+ cells	Neural crest cells	SMC	UPK3B Serosa	Venous EC	WNT4 FLC	cycling cells 1	cycling cells 2	early enterocyte 1	early enterocyte 2	enterocyte	enteroendocrine	immune cells	mesoderm 1	mesoderm 2	myofibroblast	pericyte	uniform progenitor
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.031	0.0	0.035	0.063	0.1	0.023	0.075	0.009	0.151	0.008	0.057	0.039	0.038	0.168	0.062	0.011	0.008	0.009	0.008	0.007	0.01	13.643	0.031	0.073	0.05	0.087	0.009
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.097	0.521	0.035	0.006	0.06	0.336	0.014	0.323	0.11	0.516	0.065	0.09	0.106	0.151	0.047	0.332	0.37	0.425	0.501	0.554	0.345	0.045	0.111	0.06	0.088	0.055	0.459
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.031	0.0	0.035	0.063	0.1	0.023	0.075	0.009	0.151	0.008	0.057	0.039	0.038	0.168	0.062	0.011	0.008	0.009	0.008	0.007	0.01	13.643	0.031	0.073	0.05	0.087	0.009
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.003	0.0	0.007	0.001	0.004	0.003	0.307	0.003	0.0	0.0	0.002	0.001	0.0	0.001	0.015	0.0	0.001	0.0	0.001	0.002	0.001	0.024	0.0	0.002	0.09	0.001	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.097	0.521	0.035	0.006	0.06	0.336	0.014	0.323	0.11	0.516	0.065	0.09	0.106	0.151	0.047	0.332	0.37	0.425	0.501	0.554	0.345	0.045	0.111	0.06	0.088	0.055	0.459
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.097	0.521	0.035	0.006	0.06	0.336	0.014	0.323	0.11	0.516	0.065	0.09	0.106	0.151	0.047	0.332	0.37	0.425	0.501	0.554	0.345	0.045	0.111	0.06	0.088	0.055	0.459
PVR	P15151	False	PVR_HUMAN		CPI-SS00561BBD7	0.097	0.521	0.035	0.006	0.06	0.336	0.014	0.323	0.11	0.516	0.065	0.09	0.106	0.151	0.047	0.332	0.37	0.425	0.501	0.554	0.345	0.045	0.111	0.06	0.088	0.055	0.459
PVR	P15151	False	PVR_HUMAN		CPI-SS0F1A060D4	0.097	0.521	0.035	0.006	0.06	0.336	0.014	0.323	0.11	0.516	0.065	0.09	0.106	0.151	0.047	0.332	0.37	0.425	0.501	0.554	0.345	0.045	0.111	0.06	0.088	0.055	0.459
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS00550260E	0.005	0.0	0.795	0.006	0.012	0.001	0.007	0.0	0.0	0.0	0.103	0.003	0.017	0.008	0.035	0.002	0.001	0.001	0.001	0.001	0.058	0.0	0.011	0.01	0.011	0.016	0.003
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0B990492C	0.193	0.004	2.415	0.026	0.703	0.045	0.115	0.14	0.0	0.013	1.951	0.169	0.503	0.056	0.097	0.067	0.054	0.052	0.023	0.006	0.167	0.163	0.084	0.149	0.064	0.233	0.107
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS0C5E9FBFB	0.026	0.11	0.061	0.004	0.071	0.169	0.019	0.083	0.014	0.24	0.049	0.013	0.011	0.042	0.012	0.074	0.072	0.049	0.067	0.06	0.133	0.013	0.014	0.06	0.014	0.1	0.055
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS03859E16F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
NECTIN2	Q92692	False	PVRL2_HUMAN		CPI-SS02FBD007E	2.487	1.287	0.604	0.046	0.674	0.569	0.403	0.612	1.618	1.039	0.306	0.367	3.082	1.523	0.739	0.835	0.627	0.694	0.949	1.205	0.637	0.35	0.522	0.587	0.386	0.744	0.629
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0D03910A0	0.003	0.0	0.007	0.001	0.004	0.003	0.307	0.003	0.0	0.0	0.002	0.001	0.0	0.001	0.015	0.0	0.001	0.0	0.001	0.002	0.001	0.024	0.0	0.002	0.09	0.001	0.0
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0FEAC3352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.004	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GALR1	P47211	False	GALR1_HUMAN		CPI-SS0B0E74BC0	0.0	0.0	0.018	0.0	0.0	0.0	0.002	0.005	0.0	0.0	0.002	0.0	0.001	0.001	0.0	0.001	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.003	0.0
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS09C06644C	0.005	0.0	0.795	0.006	0.012	0.001	0.007	0.0	0.0	0.0	0.103	0.003	0.017	0.008	0.035	0.002	0.001	0.001	0.001	0.001	0.058	0.0	0.011	0.01	0.011	0.016	0.003
CADM1	Q9BY67	False	CADM1_HUMAN		CPI-SS0889E281D	0.193	0.004	2.415	0.026	0.703	0.045	0.115	0.14	0.0	0.013	1.951	0.169	0.503	0.056	0.097	0.067	0.054	0.052	0.023	0.006	0.167	0.163	0.084	0.149	0.064	0.233	0.107
CRTAM	O95727	False	CRTAM_HUMAN		CPI-SS0C9696AAA	0.005	0.0	0.008	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.005	0.017	0.0	0.002	0.001	0.0	0.001
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS02D18D12B	0.005	0.0	0.795	0.006	0.012	0.001	0.007	0.0	0.0	0.0	0.103	0.003	0.017	0.008	0.035	0.002	0.001	0.001	0.001	0.001	0.058	0.0	0.011	0.01	0.011	0.016	0.003
CADM3	Q8N126	False	CADM3_HUMAN		CPI-SS0B3829651	0.005	0.0	0.795	0.006	0.012	0.001	0.007	0.0	0.0	0.0	0.103	0.003	0.017	0.008	0.035	0.002	0.001	0.001	0.001	0.001	0.058	0.0	0.011	0.01	0.011	0.016	0.003
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS00661A3A4	0.026	0.11	0.061	0.004	0.071	0.169	0.019	0.083	0.014	0.24	0.049	0.013	0.011	0.042	0.012	0.074	0.072	0.049	0.067	0.06	0.133	0.013	0.014	0.06	0.014	0.1	0.055
NECTIN1	Q15223	False	PVRL1_HUMAN		CPI-SS01E0F2D2C	0.026	0.11	0.061	0.004	0.071	0.169	0.019	0.083	0.014	0.24	0.049	0.013	0.011	0.042	0.012	0.074	0.072	0.049	0.067	0.06	0.133	0.013	0.014	0.06	0.014	0.1	0.055
TIGIT	Q495A1	False	TIGIT_HUMAN		CPI-SS0A5DF05C0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.0	0.017	0.0	0.006	0.0	0.002	0.001	0.039	0.0	0.0	0.001	0.003	0.008	0.001	0.0	0.001	0.0	0.001	0.001	0.001	0.08	0.0	0.004	0.0	0.005	0.0
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.004	1.086	0.015	0.004	0.006	0.902	0.004	0.789	0.016	0.801	0.022	0.025	0.669	0.01	0.016	0.853	0.787	0.804	0.951	1.203	0.746	0.015	0.012	0.006	0.009	0.005	1.239
FGF2	P09038	False	FGF2_HUMAN		CPI-SS03DA2A820	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.155	0.0	0.086	0.013	0.006	0.015	0.006	0.023	0.009	0.0	0.111	0.005	0.005	0.182	0.012	0.005	0.008	0.001	0.001	0.004	0.002	1.924	0.015	0.007	0.011	0.009	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.448	0.222	0.017	0.008	0.015	0.028	0.016	0.014	1.079	0.149	0.007	0.008	0.002	0.543	0.016	0.01	0.008	0.007	0.006	0.01	0.006	0.781	0.0	0.011	0.013	0.007	0.005
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.015	0.0	0.108	0.001	0.059	0.0	0.009	0.0	0.005	0.004	0.032	0.001	0.259	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.016	0.014	0.036	0.04	0.0
FGF2	P09038	False	FGF2_HUMAN		CPI-SS008FB916C	0.003	0.0	0.031	0.006	0.07	0.001	0.164	0.002	0.0	0.0	0.025	0.035	0.014	0.039	0.211	0.0	0.0	0.001	0.0	0.001	0.0	0.006	0.087	0.057	0.206	0.023	0.001
FGF1	P05230	False	FGF1_HUMAN		CPI-SS0D9366D11	0.005	0.0	0.096	0.0	0.013	0.0	0.01	0.001	0.014	0.0	0.019	0.012	0.934	0.003	0.009	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.0	0.003	0.008	0.017	0.0
