SOURCE	TARGET	count
SMC	SMC	49
SMC	NTS+ cells	57
SMC	Enteric neurons	71
SMC	cycling cells 1	107
SMC	uniform progenitor	101
SMC	mesoderm 2	83
SMC	early enterocyte 1	46
SMC	mesoderm 1	77
SMC	Neural crest cells	67
SMC	cycling cells 2	78
SMC	LGR5 stem	91
SMC	Goblet prog	87
SMC	early enterocyte 2	56
SMC	enteroendocrine	78
SMC	FOXL1 FLC	110
SMC	Erythroblasts	10
SMC	BEST4 enterocyte prog	53
SMC	enterocyte	56
SMC	pericyte	99
SMC	Venous EC	117
SMC	ICC	65
SMC	myofibroblast	118
SMC	immune cells	47
SMC	Arterial EC	92
SMC	WNT4 FLC	119
SMC	UPK3B Serosa	46
SMC	Lymphatic EC	58
NTS+ cells	SMC	57
NTS+ cells	NTS+ cells	19
NTS+ cells	Enteric neurons	48
NTS+ cells	cycling cells 1	64
NTS+ cells	uniform progenitor	63
NTS+ cells	mesoderm 2	58
NTS+ cells	early enterocyte 1	38
NTS+ cells	mesoderm 1	60
NTS+ cells	Neural crest cells	32
NTS+ cells	cycling cells 2	49
NTS+ cells	LGR5 stem	39
NTS+ cells	Goblet prog	55
NTS+ cells	early enterocyte 2	39
NTS+ cells	enteroendocrine	55
NTS+ cells	FOXL1 FLC	92
NTS+ cells	Erythroblasts	4
NTS+ cells	BEST4 enterocyte prog	42
NTS+ cells	enterocyte	43
NTS+ cells	pericyte	63
NTS+ cells	Venous EC	75
NTS+ cells	ICC	45
NTS+ cells	myofibroblast	76
NTS+ cells	immune cells	46
NTS+ cells	Arterial EC	69
NTS+ cells	WNT4 FLC	87
NTS+ cells	UPK3B Serosa	53
NTS+ cells	Lymphatic EC	49
Enteric neurons	SMC	71
Enteric neurons	NTS+ cells	48
Enteric neurons	Enteric neurons	31
Enteric neurons	cycling cells 1	83
Enteric neurons	uniform progenitor	75
Enteric neurons	mesoderm 2	57
Enteric neurons	early enterocyte 1	46
Enteric neurons	mesoderm 1	57
Enteric neurons	Neural crest cells	60
Enteric neurons	cycling cells 2	69
Enteric neurons	LGR5 stem	65
Enteric neurons	Goblet prog	68
Enteric neurons	early enterocyte 2	53
Enteric neurons	enteroendocrine	73
Enteric neurons	FOXL1 FLC	100
Enteric neurons	Erythroblasts	3
Enteric neurons	BEST4 enterocyte prog	45
Enteric neurons	enterocyte	48
Enteric neurons	pericyte	81
Enteric neurons	Venous EC	71
Enteric neurons	ICC	59
