gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	Arterial EC	BEST4 enterocyte prog	Enteric neurons	Erythroblasts	FOXL1 FLC	Goblet prog	ICC	LGR5 stem	Lymphatic EC	NTS+ cells	Neural crest cells	SMC	UPK3B Serosa	Venous EC	WNT4 FLC	cycling cells 1	cycling cells 2	early enterocyte 1	early enterocyte 2	enterocyte	enteroendocrine	immune cells	mesoderm 1	mesoderm 2	myofibroblast	pericyte	uniform progenitor
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0A7B487D4	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS0FEC87269	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS028784FC6	0.0	0.0	0.018	0.013	0.239	0.068	0.0	0.006	0.0	0.001	0.035	0.032	0.0	0.25	0.06	0.029	0.042	0.017	0.011	0.0	0.016	19.556	0.063	0.09	0.032	0.077	0.023
PVR	P15151	False	PVR_HUMAN		CPI-SS00A8596B5	0.0	0.317	0.057	0.0	0.019	0.306	0.12	0.431	0.168	0.304	0.047	0.085	0.0	0.376	0.105	0.391	0.437	0.456	0.398	0.971	0.3	0.128	0.02	0.057	0.108	0.053	0.527
KLRG2	A4D1S0	False	KLRG2_HUMAN		CPI-SS044DF8749	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-DPA1	HLADPA1	False	HLADPA1		CPI-SS072B19293	0.0	0.0	0.018	0.013	0.239	0.068	0.0	0.006	0.0	0.001	0.035	0.032	0.0	0.25	0.06	0.029	0.042	0.017	0.011	0.0	0.016	19.556	0.063	0.09	0.032	0.077	0.023
GALR2	O43603	False	GALR2_HUMAN		CPI-SS0F8ABC300	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.005	0.0	0.001
GALR3	O60755	False	GALR3_HUMAN		CPI-SS0E70DD97F	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PVR	P15151	False	PVR_HUMAN		CPI-SS0B84DAE3D	0.0	0.317	0.057	0.0	0.019	0.306	0.12	0.431	0.168	0.304	0.047	0.085	0.0	0.376	0.105	0.391	0.437	0.456	0.398	0.971	0.3	0.128	0.02	0.057	0.108	0.053	0.527
PVR	P15151	False	PVR_HUMAN		CPI-SS0A8627ED6	0.0	0.317	0.057	0.0	0.019	0.306	0.12	0.431	0.168	0.304	0.047	0.085	0.0	0.376	0.105	0.391	0.437	0.456	0.398	0.971	0.3	0.128	0.02	0.057	0.108	0.053	0.527
